Entity,Code,Year,$10 - total number of people above poverty line,$5.50-$10 - total number of people between poverty lines,$3.20-$5.50 - total number of people between poverty lines,$1.90-$3.20 - total number of people between poverty lines,$1.90 - total number of people below poverty line
Austria,AUT,1997,7808887,102640,19688,20167,16659
Austria,AUT,2000,7873726,118483,0,0,19357
Austria,AUT,2003,8023121,48091,17577,5654,26980
Austria,AUT,2004,8094050,54419,11842,4982,6673
Austria,AUT,2005,8131319,67428,12987,3450,12645
Austria,AUT,2006,8177659,61489,10441,11601,7451
Austria,AUT,2007,8185682,48165,11970,18787,30883
Austria,AUT,2008,8195027,50884,27153,9224,39208
Austria,AUT,2009,8187180,74361,20662,6368,54752
Austria,AUT,2010,8251490,44420,19387,7068,41039
Austria,AUT,2011,8243647,61345,38397,13395,34859
Austria,AUT,2012,8267138,77917,24530,8400,52006
Austria,AUT,2013,8380193,49175,18519,3274,28662
Austria,AUT,2014,8435855,53532,28263,9540,19166
Austria,AUT,2015,8472647,94966,11869,4689,58528
Austria,AUT,2016,8562061,65877,30729,19984,58017
Austria,AUT,2017,8687121,50368,25037,7056,27984
Austria,AUT,2018,8705109,43221,31426,10519,50246
Austria,AUT,2019,8753863,50603,12180,6386,56888
Azerbaijan,AZE,1995,770770,2206578,2757569,1405781,544152
Azerbaijan,AZE,2001,1316943,2580094,2860848,1143824,209491
Azerbaijan,AZE,2002,1966284,4884730,1274558,42877,3501
Azerbaijan,AZE,2003,2360668,4436074,1362345,75013,0
Azerbaijan,AZE,2004,2345023,4804474,1144081,12922,0
Azerbaijan,AZE,2005,3152393,4648162,587930,3365,0
Bangladesh,BGD,1983,215612,2269145,11971433,38258777,33427523
Bangladesh,BGD,1985,715887,3237987,15546526,40237995,31025785
Bangladesh,BGD,1988,738199,2972073,13259183,38776307,42440588
Bangladesh,BGD,1991,382822,2903046,14099354,42309962,45903941
Bangladesh,BGD,1995,2217754,6322222,20482950,45793613,40353394
Bangladesh,BGD,2000,2419744,8439869,24502619,48608687,43686943
Bangladesh,BGD,2005,3552896,11531182,32510439,56518269,34922719
Bangladesh,BGD,2010,3883766,14487699,40716112,60186464,28301392
Bangladesh,BGD,2016,4996766,19938772,50473925,59938178,22629510
Belarus,BLR,1993,1111731,5584638,3165517,368017,9147
Belarus,BLR,1995,4285752,4151613,1449394,233272,73800
Belarus,BLR,1998,421709,1904258,3734763,2823104,1188129
Belarus,BLR,1999,473136,2331328,3719300,2439862,1063112
Belarus,BLR,2000,669780,2734739,3804105,2039292,731694
Belarus,BLR,2001,1276543,3689497,3412676,1229812,320021
Belarus,BLR,2002,1603208,4052982,3081414,918363,209581
Belarus,BLR,2003,1831009,4135920,2908865,779473,141482
Belarus,BLR,2004,2362578,4703953,2205291,427104,31220
Belarus,BLR,2005,3861868,4145898,1398560,221634,35955
Belarus,BLR,2006,4966155,3514808,1007280,106333,10348
Belarus,BLR,2007,5843429,2992973,615995,100548,8008
Belarus,BLR,2008,6286668,2717481,474488,49348,0
Belarus,BLR,2009,6415521,2600628,433737,51953,2744
Belarus,BLR,2010,6973698,2173063,320750,16325,0
Belarus,BLR,2011,7347839,1860663,247967,5174,0
Belarus,BLR,2012,8028263,1303041,107861,7671,0
Belarus,BLR,2013,8495065,878034,65775,4337,0
Belarus,BLR,2014,8596295,813608,38612,0,0
Belarus,BLR,2015,8298592,1076810,85674,0,0
Belarus,BLR,2016,8220898,1173957,74524,0,0
Belarus,BLR,2017,8371463,1015180,69743,2603,0
Belarus,BLR,2018,8633884,762841,39982,2078,0
Belarus,BLR,2019,8782753,614258,22747,0,0
Belarus,BLR,2020,8927735,439942,9764,2511,0
Belgium,BEL,1985,9687177,97405,24755,25293,23678
Belgium,BEL,1988,9753173,75685,0,25495,47311
Belgium,BEL,1992,9878016,47232,21138,0,98772
Belgium,BEL,1995,9938094,101934,22865,32113,41805
Belgium,BEL,1997,10010163,98069,22872,0,50141
Belgium,BEL,2000,10132552,50913,0,36467,31318
Belgium,BEL,2003,10197600,105015,26722,16247,30549
Belgium,BEL,2004,10342027,56984,8788,7917,5421
Belgium,BEL,2005,10371176,57915,15164,14131,20231
Belgium,BEL,2006,10420769,84536,20460,4373,17820
Belgium,BEL,2007,10522864,70708,11238,4797,16093
Belgium,BEL,2008,10638868,40729,15303,2391,12682
Belgium,BEL,2009,10661178,108025,10139,5536,11615
Belgium,BEL,2010,10764345,83344,26220,6737,14940
Belgium,BEL,2011,10901171,85331,19768,13420,18574
Belgium,BEL,2012,10995103,64989,21149,8301,17390
Belgium,BEL,2013,11062191,51804,20661,8625,16126
Belgium,BEL,2014,11137818,49617,7447,5601,8574
Belgium,BEL,2015,11206213,43467,2513,14026,7977
Belgium,BEL,2016,11226416,82613,12578,3037,6778
Belgium,BEL,2017,11297971,37044,14421,8902,16820
Belgium,BEL,2018,11379626,29626,7546,987,9269
Belgium,BEL,2019,11424524,40704,8911,5816,9025
Belize,BLZ,1993,51068,49916,47747,29010,19884
Belize,BLZ,1994,44914,51495,52201,33409,19660
Belize,BLZ,1995,82408,42077,37084,19964,25429
Belize,BLZ,1996,44920,45353,56447,38604,28336
Belize,BLZ,1997,44749,48796,50939,41638,35453
Belize,BLZ,1998,50363,50647,52970,43658,32610
Belize,BLZ,1999,56698,60099,55983,32938,33261
Benin,BEN,2003,113031,354847,1049867,2135206,3867605
Benin,BEN,2011,260916,676205,1261108,2230128,5032472
Benin,BEN,2015,333529,659350,1519173,2817610,5246300
Benin,BEN,2018,614903,1760527,3222535,3685919,2201151
Bhutan,BTN,2003,52786,116940,173686,172906,111522
Bhutan,BTN,2007,82167,173270,205881,149177,54378
Bhutan,BTN,2012,155531,235209,207434,88083,15325
Bhutan,BTN,2017,216153,239171,199648,79090,11501
Bolivia,BOL,1997,2004808,1770086,1626687,1007514,1528358
Bolivia,BOL,1999,1972877,1765929,1374625,1064347,2079288
Bolivia,BOL,2000,1681645,1520377,1735448,1075928,2404872
Bolivia,BOL,2001,1856470,1805068,1823771,1140137,1954798
Bolivia,BOL,2002,1790450,1779840,1828673,1196359,2147500
Bolivia,BOL,2004,2208697,2068781,2166532,1394646,1230388
Bolivia,BOL,2005,2484915,1952256,1844524,1178073,1772533
Bolivia,BOL,2006,2830746,2062648,1821358,1170604,1510093
Bolivia,BOL,2007,2841406,2292495,1907902,1327290,1189345
Bolivia,BOL,2008,3407260,2521092,1847488,876219,1069398
Bolivia,BOL,2009,3810183,2653120,1615973,782963,1022551
Bolivia,BOL,2011,4548103,2810559,1429001,689189,736099
Bolivia,BOL,2012,4817731,2653747,1390262,669020,846917
Bolivia,BOL,2013,5248732,2570868,1438432,558597,725746
Bolivia,BOL,2014,5291349,2758338,1362367,682620,611843
Bolivia,BOL,2015,5292395,2812440,1501647,578621,684629
Bolivia,BOL,2016,5291225,2882968,1411491,622540,823598
Bolivia,BOL,2017,5497098,2815169,1490740,657128,732718
Bolivia,BOL,2018,5583151,3111533,1414510,687201,556745
Bolivia,BOL,2019,5855167,3366275,1390839,527671,373150
Bolivia,BOL,2020,5723122,3425320,1478656,531479,514452
Bolivia - urban,,1990,855693,1073512,983298,636042,266727
Bolivia - urban,,1992,612553,835290,1145420,908924,618276
Bosnia and Herzegovina,BIH,2001,2041395,1392744,286322,23364,11689
Bosnia and Herzegovina,BIH,2004,2899458,714473,126105,18118,6040
Bosnia and Herzegovina,BIH,2007,3067534,589270,90067,13728,2192
Bosnia and Herzegovina,BIH,2011,2917676,606121,111106,24110,2160
Botswana,BWA,1985,81451,126555,196564,227361,437654
Botswana,BWA,1993,151103,203013,285333,294041,465620
Botswana,BWA,2002,351301,240114,282391,350590,480241
Botswana,BWA,2009,465495,398342,396255,356542,336861
Botswana,BWA,2015,468881,399260,479043,466197,307335
Brazil,BRA,1981,26054120,23159441,26159670,21887701,26309395
Brazil,BRA,1982,27162010,23641182,26359608,21887241,27448281
Brazil,BRA,1983,22805613,20702638,24967822,25486658,35486084
Brazil,BRA,1984,22688016,21641097,26586969,26089496,35377991
Brazil,BRA,1985,27197581,25035543,26930931,24906987,31203041
Brazil,BRA,1986,48817878,31019340,26257007,17569994,14444696
Brazil,BRA,1987,38184438,28448217,27714066,21626435,24918450
Brazil,BRA,1988,37024324,27836146,27465590,22521043,28780402
Brazil,BRA,1989,42330664,27869578,27824297,21616816,26686950
Brazil,BRA,1990,35661822,27556412,28702658,25031948,32050385
Brazil,BRA,1992,32059933,32670237,32304568,25215913,32008731
Brazil,BRA,1993,35941147,32089638,31945715,25765706,31106880
Brazil,BRA,1995,52505769,36684449,29430812,22428433,20970426
Brazil,BRA,1996,54404666,35384181,29998495,21589990,23237350
Brazil,BRA,1997,54957020,36127612,30140785,22651952,23331677
Brazil,BRA,1998,55926062,38300425,32584698,21428326,21545742
Brazil,BRA,1999,53903156,39554213,32245470,23649729,22966106
Brazil,BRA,2001,64319178,40045777,31520617,20872199,20438280
Brazil,BRA,2002,66072400,41198423,32243691,21632600,18390409
Brazil,BRA,2003,64807793,41481547,33075866,22418972,20025066
Brazil,BRA,2004,67003234,43173560,34405194,21613072,17811419
Brazil,BRA,2005,71600201,43989201,34103795,20467366,15966545
Brazil,BRA,2006,78693956,45461655,32094322,18428421,13488999
Brazil,BRA,2007,84365902,45181915,30996508,16753916,12832204
Brazil,BRA,2008,90548771,46353749,29367572,15129684,10630586
Brazil,BRA,2009,94950996,46014743,28880989,13613243,10426534
Brazil,BRA,2011,104591170,45858197,26935194,10854031,9275949
Brazil,BRA,2012,110453662,45510549,24803503,10764095,7755483
Brazil,BRA,2013,116719276,44232194,23778489,9840113,6465832
Brazil,BRA,2014,120886664,44644405,22347565,9045797,5839313
Brazil,BRA,2015,120137668,44465396,23390221,9588918,6889556
Brazil,BRA,2016,117490414,45243509,24333216,10614676,8481241
Brazil,BRA,2017,118836058,45020384,24230739,10056425,9690219
Brazil,BRA,2018,121613598,44334504,23499087,10250742,9771389
Brazil,BRA,2019,124377065,43219221,23302104,9895285,10255844
Brazil,BRA,2020,136024376,48661743,18714246,5488760,3670284
Bulgaria,BGR,1989,8543481,306060,19501,3250,4680
Bulgaria,BGR,1992,7017306,1413542,109316,0,0
Bulgaria,BGR,1994,5575880,2568020,246806,31431,21454
Bulgaria,BGR,1995,4146471,3170404,833935,162436,92821
Bulgaria,BGR,1997,1046248,3673822,3080897,468170,42931
Bulgaria,BGR,2001,2870148,3220193,1298170,419839,200792
Bulgaria,BGR,2003,2248448,3782000,1393619,282721,68539
Bulgaria,BGR,2006,2876253,2896966,990648,410012,427143
Bulgaria,BGR,2007,4236066,2507286,604888,163733,33365
Bulgaria,BGR,2008,5193446,1614206,432590,161251,91068
Bulgaria,BGR,2009,5293853,1477318,456256,120618,96398
Bulgaria,BGR,2010,4918887,1633773,516425,180219,146295
Bulgaria,BGR,2011,4799124,1678255,500471,190706,179772
Bulgaria,BGR,2012,4785211,1673891,454099,231945,160742
Bulgaria,BGR,2013,5187412,1239691,475469,232950,129593
Bulgaria,BGR,2014,5283861,1281562,377199,163482,117834
Bulgaria,BGR,2015,5048399,1238438,462640,184833,243681
Bulgaria,BGR,2016,5454305,1002537,343969,188130,138881
Bulgaria,BGR,2017,5421597,1093040,324613,139632,97065
Bulgaria,BGR,2018,5773969,766499,332938,90481,61150
Bulgaria,BGR,2019,5796219,749879,245767,120269,63627
Burkina Faso,BFA,1994,68793,208163,423599,944984,8171045
Burkina Faso,BFA,1998,157028,251343,535114,1070499,8954738
Burkina Faso,BFA,2003,191442,675991,1603897,2919594,7263700
Burkina Faso,BFA,2009,239717,632103,1890793,3988078,8390407
Burkina Faso,BFA,2014,316158,1035714,2746849,5776917,7710391
Burkina Faso,BFA,2018,1563325,2382448,3597767,5559371,6648555
Burundi,BDI,1992,57,59864,220275,749270,4656103
Burundi,BDI,1998,25711,95460,161372,663432,5239589
Burundi,BDI,2006,22580,99136,400554,1105596,5979984
Burundi,BDI,2013,57959,240093,689938,1606986,6945326
Cameroon,CMR,1996,510335,1011034,1921873,3378949,7148621
Cameroon,CMR,2001,891709,2142825,4007943,4742709,4143724
Cameroon,CMR,2007,1051764,2425080,4309383,4992147,5951909
Cameroon,CMR,2014,2435305,4132315,5463235,4759488,5891510
Canada,CAN,1971,19437416,1536421,329909,164230,494056
Canada,CAN,1975,21928455,752480,173613,57754,230973
Canada,CAN,1981,24016936,494462,122833,62895,122789
Canada,CAN,1987,25851678,397569,138881,0,58473
Canada,CAN,1991,27406786,496910,72722,0,61002
Canada,CAN,1994,28421886,436007,70807,0,71963
Canada,CAN,1997,29158587,449015,149035,0,149311
Canada,CAN,1998,29483192,371425,149987,0,150569
Canada,CAN,2000,29996792,462464,73309,76509,76656
Canada,CAN,2004,31302967,400057,159837,0,77794
Canada,CAN,2007,32396486,328312,82579,0,81648
Canada,CAN,2010,33583112,255008,82154,0,84615
Canada,CAN,2012,34021912,434106,172626,0,85578
Canada,CAN,2013,34381805,441588,85379,0,174182
Canada,CAN,2014,34906471,267271,88285,89593,85815
Canada,CAN,2015,35078209,359559,88083,89262,87795
Canada,CAN,2016,35569220,274153,85634,90671,89809
Canada,CAN,2017,35997183,275850,90492,91499,90271
Cape Verde,CPV,2001,70385,89261,110202,93627,72226
Cape Verde,CPV,2007,100016,119916,127508,87917,39710
Cape Verde,CPV,2015,150523,157500,136148,62986,17583
Central African Republic,CAF,1992,30594,65827,134404,238794,2489617
Central African Republic,CAF,2008,121664,187692,421844,724897,2817271
Chad,TCD,2003,91839,357647,1076016,2225049,5623362
Chad,TCD,2011,415843,1289251,2460359,3488766,4706767
Chad,TCD,2018,459542,1411178,3323614,5145927,5137466
Chile,CHL,1987,3234260,2801797,3019502,2144907,1442451
Chile,CHL,1990,4001307,3217568,3103152,1900695,1051895
Chile,CHL,1992,4650890,3688547,3150026,1603846,626509
Chile,CHL,1994,5297510,3703990,3016493,1459200,689153
Chile,CHL,1996,6155634,3943456,2710152,1288810,489315
Chile,CHL,1998,6699803,3996894,2616893,1142545,521601
Chile,CHL,2000,6355414,4319920,2810405,1199644,656967
Chile,CHL,2003,6662016,4463274,2946178,1142311,635870
Chile,CHL,2006,8357103,4858746,2262698,638763,237197
Chile,CHL,2009,9310822,5012505,1886850,458211,217796
Chile,CHL,2011,10501029,4664748,1623127,339611,105069
Chile,CHL,2013,12469132,3938584,933944,167002,62849
Chile,CHL,2015,13579508,3478232,727370,129833,54413
Chile,CHL,2017,14859797,2950636,533702,73181,53119
Chile,CHL,2020,15340394,2939067,576454,131325,128969
China,CHN,1981,40136,317240,6447543,111555710,875524371
China,CHN,1984,73230,2208719,36044471,218459356,780039224
China,CHN,1987,275222,11983046,94115236,322117172,655544324
China,CHN,1990,2519921,19316476,91336552,269743412,752268639
China,CHN,1993,7103541,36775895,151824868,314631333,668104363
China,CHN,1996,17325400,75848828,236369979,380022103,507983690
China,CHN,1999,29471150,109179457,257693615,352099770,504291008
China,CHN,2002,60911540,187150681,293172028,333317302,405848449
China,CHN,2005,118762582,265450723,355936016,321915329,241655350
China,CHN,2008,199252163,321830833,344291762,262529960,196750282
China,CHN,2010,271551656,350999407,332975200,232283440,149895297
China,CHN,2011,306701822,376520027,345245246,209815257,106752648
China,CHN,2012,362557487,390915174,327015493,185719290,87982556
China,CHN,2013,430699825,436935709,330451661,139789563,25363242
China,CHN,2014,491326643,448289032,301711022,111842647,18690656
China,CHN,2015,545370965,458927932,279220203,86306521,10034379
China,CHN,2016,596538074,458681985,257606735,67676299,7286907
China,CHN,2017,636252858,448025887,247491810,58503920,5940525
China,CHN,2018,694120682,442444691,221911365,40334159,3949103
China,CHN,2019,741418851,443319008,199486107,22268789,1252245
China - rural,,1981,7939,0,639618,36089275,757198384
China - rural,,1984,8066,1562517,21603266,101005161,682439735
China - rural,,1987,8211,8773531,43597472,176517532,592162203
China - rural,,1990,2516919,7643058,31172569,137502515,656184321
China - rural,,1993,2377799,9177007,45986998,180939975,596996828
China - rural,,1996,7465573,25835210,93254186,247858858,454542915
China - rural,,1999,8538684,26978068,92089854,231610210,456752126
China - rural,,2002,13546239,38777478,117658116,236703588,381720879
China - rural,,2005,20602583,65994001,185166420,250704949,226884229
China - rural,,2008,31257066,84075590,187794641,216558930,188487583
China - rural,,2010,39818980,99338729,194824222,200257166,144967240
China - rural,,2011,44764491,119164169,214568306,184069579,103077826
China - rural,,2012,56615046,135897183,210149081,165485830,85046406
China - rural,,2013,80513667,202976683,219714187,115622246,21718796
China - rural,,2014,98374406,222688750,200690513,90675579,15073235
China - rural,,2015,114939908,233715596,186782852,70931451,7667893
China - rural,,2016,129213004,237688217,171312459,56240866,5958920
China - rural,,2017,143698237,230377930,160825364,47244689,4822566
China - rural,,2018,168065314,231584732,138465810,31574400,3309149
China - rural,,2019,184532367,231919908,124727974,16673587,908309
China - urban,,1981,32197,317239,5807926,75466436,118325986
China - urban,,1984,65164,646202,14441205,117454196,97599488
China - urban,,1987,267011,3209515,50517764,145599640,63382121
China - urban,,1990,3002,11673418,60163983,132240896,96084319
China - urban,,1993,4725742,27598888,105837870,133691358,71107535
China - urban,,1996,9859827,50013618,143115793,132163244,53440776
China - urban,,1999,20932466,82201389,165603761,120489560,47538882
China - urban,,2002,47365300,148373204,175513912,96613714,24127570
China - urban,,2005,98159998,199456723,170769596,71210380,14771121
China - urban,,2008,167995098,237755242,156497121,45971030,8262699
China - urban,,2010,231732676,251660678,138150978,32026274,4928057
China - urban,,2011,261937330,257355859,130676940,25745678,3674822
China - urban,,2012,305942441,255017991,116866412,20233460,2936150
China - urban,,2013,350186158,233959026,110737473,24167318,3644446
China - urban,,2014,392952238,225600281,101020510,21167067,3617421
China - urban,,2015,430431057,225212336,92437351,15375070,2366486
China - urban,,2016,467325070,220993768,86294276,11435433,1327987
China - urban,,2017,492554620,217647958,86666446,11259231,1117959
China - urban,,2018,526055368,210859959,83445555,8759758,639955
China - urban,,2019,556886484,211399100,74758132,5595204,343935
Colombia,COL,1992,9088496,9106610,8292824,4852212,3082426
Colombia,COL,1996,8000136,8503230,8557433,5839137,6176451
Colombia,COL,1999,7839270,8199368,8777401,6241704,7941725
Colombia,COL,2000,9029473,9179129,8993487,5788664,6639212
Colombia,COL,2001,7364967,8164860,9546613,7069521,8109995
Colombia,COL,2002,10317305,9187657,9708731,6281947,5379723
Colombia,COL,2003,9952399,10134925,9919075,6444207,5033266
Colombia,COL,2004,10556068,9873021,10333062,6605635,4708167
Colombia,COL,2005,11728988,10678190,10062074,5997180,4181299
Colombia,COL,2008,14516839,10802374,8915186,5419833,4600740
Colombia,COL,2009,15081013,11130272,9296851,5226145,4015773
Colombia,COL,2010,16302227,11488898,9073757,4852230,3505587
Colombia,COL,2011,17524773,11855107,8729182,4657094,2896591
Colombia,COL,2012,18464187,11823317,8604734,4304701,2878782
Colombia,COL,2013,19553032,11983242,8347575,3986137,2625506
Colombia,COL,2014,20707096,12158049,7911482,3826511,2364568
Colombia,COL,2015,21208383,12539510,8103849,3482976,2185949
Colombia,COL,2016,21339837,12998798,8131954,3523057,2181402
Colombia,COL,2017,21762069,13402614,8334185,3441065,1969911
Colombia,COL,2018,22207345,13440910,8475957,3457259,2079585
Colombia,COL,2019,22252214,13301862,8368103,3930127,2487137
Colombia,COL,2020,18153665,13233788,9369276,4877119,5249036
Colombia - urban,,1980,4009749,3626907,3437121,2680375,3391694
Colombia - urban,,1988,5974512,5267712,4471764,2951696,3142930
Colombia - urban,,1989,5866944,5408196,4866375,3280340,2976415
Colombia - urban,,1991,6751351,5922338,4863365,3100031,2976528
Comoros,COM,2004,88455,122982,162625,133682,89486
Comoros,COM,2014,98817,169702,189514,156535,144822
Congo,COG,2005,102804,254399,506755,762992,1995825
Congo,COG,2011,221429,485775,868347,1080345,1738946
Costa Rica,CRI,1981,327741,502352,567378,440539,617583
Costa Rica,CRI,1986,322593,922577,796455,390079,378541
Costa Rica,CRI,1989,887262,887095,643367,304183,317108
Costa Rica,CRI,1990,969425,880070,654658,296621,318662
Costa Rica,CRI,1991,841822,909025,691441,380825,378970
Costa Rica,CRI,1992,948182,958500,705966,354882,318995
Costa Rica,CRI,1993,1199068,963229,656630,279867,273504
Costa Rica,CRI,1994,1388884,1001308,586683,247571,234383
Costa Rica,CRI,1995,1387273,1016210,627128,267753,247160
Costa Rica,CRI,1996,1312138,1028021,674218,324655,293329
Costa Rica,CRI,1997,1437875,1051701,704763,278946,245667
Costa Rica,CRI,1998,1671583,1076364,621064,241189,193693
Costa Rica,CRI,1999,1574744,1120748,671169,263357,255410
Costa Rica,CRI,2000,1627221,1125026,658912,284934,266276
Costa Rica,CRI,2001,2052389,1023960,517700,243989,196036
Costa Rica,CRI,2002,2094274,1065594,533948,219756,187350
Costa Rica,CRI,2003,2214809,1017346,520227,221254,190417
Costa Rica,CRI,2004,2139099,1105637,585010,210090,185320
Costa Rica,CRI,2005,2271979,1115258,554596,206608,137063
Costa Rica,CRI,2006,2293999,1158781,549705,204604,138332
Costa Rica,CRI,2007,2554656,1131020,482602,158957,77391
Costa Rica,CRI,2008,2610508,1143194,468801,136005,104615
Costa Rica,CRI,2009,2727383,1086020,449906,147320,110110
Costa Rica,CRI,2010,2953947,1047022,399478,109824,67100
Costa Rica,CRI,2011,3003616,1010835,419897,122423,76315
Costa Rica,CRI,2012,3129298,987343,380310,114477,76575
Costa Rica,CRI,2013,3182061,971437,397296,116063,75254
Costa Rica,CRI,2014,3192623,1010957,400023,120184,71603
Costa Rica,CRI,2015,3284024,984230,382270,122553,74728
Costa Rica,CRI,2016,3360689,1010500,342927,123208,62012
Costa Rica,CRI,2017,3462844,996432,351423,86888,52368
Costa Rica,CRI,2018,3464688,976420,375571,109992,72772
Costa Rica,CRI,2019,3463395,1047958,372154,112931,51123
Costa Rica,CRI,2020,3068719,1206057,529326,184895,105117
Cote d'Ivoire,CIV,1985,2408613,2793446,2674194,1290070,751881
Cote d'Ivoire,CIV,1986,1924587,3026640,3178760,1813357,363924
Cote d'Ivoire,CIV,1987,1579772,2868598,3232433,2224913,792472
Cote d'Ivoire,CIV,1988,914530,2624701,3572603,2666415,1316491
Cote d'Ivoire,CIV,1992,703347,2002755,3526826,3542141,3037359
Cote d'Ivoire,CIV,1995,945674,1942006,4094974,4149690,3067415
Cote d'Ivoire,CIV,1998,797705,1864512,3472794,5238455,4215941
Cote d'Ivoire,CIV,2002,935967,2182928,4103120,5808939,4200585
Cote d'Ivoire,CIV,2008,1059203,2476734,4492211,5610059,5967361
Cote d'Ivoire,CIV,2015,1103319,2789496,5605944,6798081,6929308
Cote d'Ivoire,CIV,2018,2583122,5601948,8142931,6438719,2302506
